datetime,ap
2000-01-08 00:00:00,6
2000-01-08 03:00:00,9
2000-01-08 06:00:00,3
2000-01-08 09:00:00,0
2000-01-08 12:00:00,50
2000-01-08 15:00:00,21
2000-01-08 18:00:00,75149
2000-01-08 21:00:00,60
2000-01-09 00:00:00,5
2000-01-09 03:00:00,0
2000-01-09 06:00:00,0
2000-01-09 09:00:00,2
2000-01-09 12:00:00,2
2000-01-09 15:00:00,2
2000-01-09 18:00:00,6
2000-01-09 21:00:00,30
2000-01-17 00:00:00,5
2000-01-17 03:00:00,2
2000-01-17 06:00:00,4
2000-01-17 09:00:00,2
2000-01-17 12:00:00,3
2000-01-17 15:00:00,2
2000-01-17 18:00:00,3
2000-01-17 21:00:00,0
2000-01-18 00:00:00,2
2000-01-18 03:00:00,2
2000-01-18 06:00:00,3
2000-01-18 09:00:00,3
2000-01-18 12:00:00,4
2000-01-18 15:00:00,5
2000-01-18 18:00:00,3
2000-01-18 21:00:00,3
2000-01-19 00:00:00,2
2000-01-19 03:00:00,3
2000-01-19 06:00:00,2
2000-01-19 09:00:00,3
2000-01-19 12:00:00,5
2000-01-19 15:00:00,7
2000-01-19 18:00:00,15
2000-01-19 21:00:00,50
2000-01-21 00:00:00,3
2000-01-21 03:00:00,23
2000-01-21 06:00:00,3
2000-01-21 09:00:00,0
2000-01-21 12:00:00,0
2000-01-21 15:00:00,2
2000-01-21 18:00:00,3
2000-01-21 21:00:00,2
2000-02-18 00:00:00,3
2000-02-18 03:00:00,0
2000-02-18 06:00:00,17
2000-02-18 09:00:00,0
2000-02-18 12:00:00,2
2000-02-18 15:00:00,2
2000-02-18 18:00:00,2
2000-02-18 21:00:00,2
2000-02-19 00:00:00,60
2000-02-19 03:00:00,0
2000-02-19 06:00:00,0
2000-02-19 09:00:00,5
2000-02-19 12:00:00,7
2000-02-19 15:00:00,3
2000-02-19 18:00:00,3
2000-02-19 21:00:00,3
2000-02-20 00:00:00,3
2000-02-20 03:00:00,6
2000-02-20 06:00:00,4
2000-02-20 09:00:00,2
2000-02-20 12:00:00,0
2000-02-20 15:00:00,4
2000-02-20 18:00:00,22
2000-02-20 21:00:00,50
2000-03-04 00:00:00,0
2000-03-04 03:00:00,0
2000-03-04 06:00:00,2
2000-03-04 09:00:00,3
2000-03-04 12:00:00,6
2000-03-04 15:00:00,7
2000-03-04 18:00:00,3
2000-03-04 21:00:00,3
2000-03-09 00:00:00,2
2000-03-09 03:00:00,3
2000-03-09 06:00:00,6
2000-03-09 09:00:00,3
2000-03-09 12:00:00,4
2000-03-09 15:00:00,4
2000-03-09 18:00:00,40
2000-03-09 21:00:00,10146203
2000-03-13 00:00:00,2
2000-03-13 03:00:00,0
2000-03-13 06:00:00,0
2000-03-13 09:00:00,0
2000-03-13 12:00:00,6
2000-03-13 15:00:00,6
2000-03-13 18:00:00,40
2000-03-13 21:00:00,10121186
2000-03-15 00:00:00,0
2000-03-15 03:00:00,27
2000-03-15 06:00:00,3
2000-03-15 09:00:00,0
2000-03-15 12:00:00,2
2000-03-15 15:00:00,2
2000-03-15 18:00:00,2
2000-03-15 21:00:00,3
2000-03-16 00:00:00,710
2000-03-16 03:00:00,30
2000-03-16 06:00:00,0
2000-03-16 09:00:00,0
